headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
nikwas/za-,,m.,water monster,430,IE,,"ON nykr m. 'hippopotamus, water being', Far. nykur m. 'water elf, OE nicor m. 'hippopotamus; water-monster', MDu. nicker m. 'water-sprite', OHG nihhus, nichus m.fn. 'water-sprite, crocodile', MHG niches, nickes m./n. 'water-sprite', G Nix m. 'river merman' (IE). The geminate of OHG nickus points to \*nikwasa- < \*nigw-os-o- with a vowel behind the labiovelar. In combination with the Verner variant ON nykr, OE nicor < \*nikwaza-, it can therefore be surmised that the original inflection was athematic, e.g. PIE nom. \*nfgw-os, gen. \*nigw·s-6s, acc. \*nigw-6s-m > PGm. \*nikwo, \*nikuzaz, \*nikwasun. The stem \*nikwas- gave rise to the feminine derivative OHG nickessa, MHG nixe, G Nixe f. 'fema…",pdf-text-headword-found,suspicious-headword-characters
nin/Jan-,,s.v.,to dare,431,WEUR,\*nent-e- (WEUR),OHG gi-nindan s.v. 'id.',pdf-text-headword-found,suspicious-headword-characters
nista-,,n.,nest,431,IE,\*ni-zd-o- (IE),"OE nest n. 'id.', E nest, Du. nest n. 'id.', OHG nest n. 'id.', G Nest n. 'id.'",pdf-text-headword-found,
ni/Jera-,,adv.,down,431,IE,\*nf-tero- (IE),"ON nior adv. 'id.', Far. niour adv. 'id.', Elfd. nioer adv. 'id.', OE niper adv. 'id.', OFri. nither adv. 'id.', OS nidar adv. 'id.', Du. neer adv. 'id.', OHG nidar adv. 'id.', G nieder adv. 'id.'",pdf-text-headword-found,suspicious-headword-characters
no-,,m.,ship,431,IE,\*neh₂u- (IE),"ON n6r m. 'id.', Icel. n6r m. 'tempering trough', Nw. no, nu 'wooden bowl'",pdf-text-headword-found,
noga-,,adv.,enough,431,DRY,,"Go. ga-nohs adj. 'id.', ON gn6gr, n6gr adj. 'id.', Far. n6gvur adj. 'much', OE ge-noh adj. 'id.', E enough, OFri. enoch adv. 'id.', OS gi-noh, gi-nog adj. 'id.', Du. ge-noeg adv. 'id.', OHG gi-nuog adj., adv. 'id.', G ge-nug adv. 'id.' (DRY). A lengthened grade adjective derived from \*nugan- 'to suffice' ( q.v.).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
nomjan-,,w.v.,"to call, give a name",431,DRY,,"MDu. noemen w.v. 'id.', Du. noemen w.v. 'id.', MHG be-niiemen w.v. 'id.' (DRY).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
notan-,,m.,rear (of a ship),432,EUR,\*neh₃t-on- (EUR),"Go. no ta\* m. 'afterdeck, stem, rear of a ship'",pdf-text-headword-found,
nozjan-,,w.v.,"to refresh, nourish",432,DRV,,"ON ncera w.v. 'id.', Far. mJra w.v. 'to bring up, rear; to increase' (DRV). A causative created to an unattested o-grade intensive verb \*nasan- < \*n6s-e-, cognate of \*nesan- 'to be saved, cured' and \*nazjan- 'to save, cure, feed' ( q.v.). The ablaut proportion was productive, cf. the creation of \*forjan- 'to lead' to \*faran- 'to go' and \*goljan- 'to greet' to \*galan- 'to shout' (q.v.). Unrelated to ON nara w.v. 'to dwindle' \*naro(ja)n- (pace De Vries 1962: 405) as the required \*nazojan- would have given ON \*\*nera by R-mutation.",pdf-text-headword-found,
nii,,adv.,now,432,IE,\*nu (IE),"Go. nu adv. 'id.', ON nu adv. 'id.', Far. nu, obs. nugv adv. 'id.', Elfd. nq adv. 'id.', OE nii adv. 'id.', E now, OFri. nii adv. 'id.', MDu. nu adv. 'id.', Du. nu, nou adv. 'id.', OHG nu, nun adv. 'id.', G nun adv. 'id.'",pdf-text-headword-found,
nugan-,,pret.-pres.,to suffice,432,IE,\*h₂no1<- (IE),"Go. ga-nauhan, 3sg. ga-nah pret.-pres. 'id.', OE ge-nugan, 3sg. ge-neah pret.-pres. 'id.', OHG gi-nugan\*, 3sg. ge-nah pret.-pres. 'id.'",pdf-text-headword-found,
nur/Jera-,,adv.,"north, northwards",433,IE,\*h₁nf-tero- (IE),"ON noror adv. 'id.', Far. norour adv. 'id.', Elfd. norter adv. 'id.', OFri. norther adv. 'id.', MDu. norder adv. 'id.', MHG norder adv. 'id.'",pdf-text-headword-found,suspicious-headword-characters
nuti-,,adj.,useful,433,ORV,,"Go. un-nuts adj. 'useless, unavailing', OE nyt adj. 'useful', OFri. nette adj. 'id.', OS nutti adj. 'id.', MDu. nutte adj. 'id.', OHG nuzzi adj. 'id.', MHG niitze adj. 'id.' (ORV). An i-stem adjective (gerundive?) to the strong verb \*neutan- (q.v.). In WGm., it was remodeled into aja-stem, which again gave rise to OE nyttian, OFri. bi-netta, OHG nuzzen w.v. 'to make use of < \*nutjojan-. Also cf. OHG nuz, G Nutzen m. 'use' < \*nutja- and ON nyt, OE nytt f. 'id.' < \*nutjo-.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
nut(t)on-,,w.v.,to drive,433,IE,\*nud-neh₂- (IE),Nw. not(t)a w.v. 'to drive (a horse)',pdf-text-headword-found,
objan-,,w.v.,to perform,433,ORV,,"OS obian w.v. 'to celebrate', MDu. oeven w.v. 'to practice', OHG uoben, uoppen w.v. 'to practice, exercise; to celebrate', G iiben w.v. 'to practice' (ORV). A causative with a secondary long \*6, derived from the PIE root \*h₃ep- 'to labor, work'. With the same vocalism, cf. OHG uoba f. 'festivity' < \*6b6- and OHG uobo m. 'farmer' < \*oban-. See also \*ajla-.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
6/(e)ra-,,m./n.,edge; shore,434,EUR,\*h₂eh₁;2per-o- (EUR),"OE ofer, i5for m. 'edge, border, margin', MDu. oever n./m./f. 'shore', Du. oever c. 'shore', MHG uover n. 'shore', G Ufer n. 'bank, shore'",pdf-text-headword-found,suspicious-headword-characters
ogjan-,,w.v.,to scare,434,IE,,"Go. ogjan w.v. 'id.', ON regja w.v. 'id.', OE on-cegan w.v. 'to fear' (IE). The causative to \*agan- (q.v.).",pdf-text-headword-found,
6hs(t)n6-,,f.,armpit,434,IE,,"OE oxn f. 'id.', OHG uohsana f. 'id.' (IE). The dialects contain a variety of different formations. In my view, the no doubt closely related ON 6st f., 6str m. 'armpit' and especially OE 6xta, i5custa m. 'id.' < \*ohsta(n)- show that OHG uohsana and OE i5xn developed from \*i5hstni5-, a feminine formation derived from a primary n-stem \*i5hstan-; the heavy cluster \*-hst(n)- must then have become simplified to \*-hsn- in West Germanic, while Nordic \*i5hsta-, on the other hand, lost the h. The additional variants OHG uohisa, MHG uochse, uechse f. 'armpit' < \*i5hsji5n- and MHG uohsn(e}, uehsen n. 'id.' < \*i5hs(t)nja- are secondary. The formations mentioned here all have long \*o, which prob…",pdf-text-headword-found,
osa(n)-,,m.(?),"mouth of a river, estuary",434,IE,\*h₁;3eh₁;3-es- (IE),"ON 6ss m. 'id.', Far. 6si m. 'id.', Nw. os m./n. 'estuary, hole in the ice' (cf. dial. gse n. 'id.' < \*osja-)",pdf-text-headword-found,
oza(n)-,,"belong here, the Verner alternation \*os-",,434,,,"\*oz- would be a clear indication of an originally mobile s-stem, e.g. \*h₁;3eh₁;3-S, \*h₁13h₁;3-es-6s. Such a paradigm is directly supported by Hitt. ajis, ais, gen. isfas < \*h₁eh₃-es (secondary for \*h₁eh₃-s), gen. \*h₃h₁-es-6s. Note that the lack of an initial b in the nominative points to \*h₁eh₃-(e}s, while the vocalism of the genitive at least superficially seems to reflect \*h₃hi-es-6s (cf. Rieken 1999: 186) with the reversed order of the laryngeals. Kloekhorst 2008: 166, on the other",pdf-text-headword-found,missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
o/Jala-,,n.,patrimony,435,DRY,,"ON 6oal n. 'ancestral property, patrimony, inheritance', OE ooel m. 'home, native country', OS othil n. 'home', OHG uodal n. 'ancestral property' (DRY). A vṛddhi-formation to \*ajJala- (q.v.). p",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
pad(d)on-,,f.,toad,435,GM,,"ON padda f. 'id.', Far. padda f. 'id.', Elfd. padda f. 'id.', ME pade, padde 'toad; toadstool, mushroom', E paddock, MDu. padde f. 'toad', Du. pad c. 'id.' (GM). The variation of ME pade with padde (continuing OE \*pade, \*padde) may point to an n-stem with a consonantal alternation, nom. \*pado, gen. \*paddaz. It gave rise to the feminine formation \*pad(d)jon-, cf. MDu., WPhal. pedde f. 'toad' < \*pad(d)jon- and probably also to the verb Du. dial. padden w.v. 'to crawl', if not the other way around. The word cannot be related to Lat. buf6 'toad' as if continuing \*bodh-on-. In agreement with known folkloristic notions concerning the animal, the latter word was actually derived from \*gwh₃-…",pdf-text-headword-found,
pagila-,,m.,measuring stick(?),435,EUR/NIE,\*bak- (EUR/NIE),"OE pcegel 'wine-vessel', E pail, MDu. pegel, peil m./f. 'knob in vessel for liquid goods to measure their contents', Du. pegel c. 'peg, pin, icicle'",pdf-text-headword-found,
paido-,,f.,"coat, shirt",435,Lw,\*bait- (Lw),"Go. paida f. 'tunic, vest, shirt', OE piid f. 'coat, cloak', OS peda f. 'garment', OHG pfeit f. 'coat', MHG pfeit f. 'shirt'",pdf-text-headword-found,
pakka-,,n.,"bundle, pack",436,EUR/NIE,,"ME packe 'id.', E pack, MLG pack n. 'id.', MDu. pac n. 'id.', Du. pak n. 'id.' (EUR/NIE) - Gr. q>UKEAO<) 'bundle' < \*bhak-elo-; Lat. biiiulus m. 'porter, carrier' (cf. Prov. baga 'bundle', Span. baga 'capsule of flaxseed') < \*bagi-e/o-(?); ?W beich m. 'load, weight, burden' < PCelt \*bakki- 1 \*baski-. A ""Middle Germanic"" word with an obscure prehistory. The restriction of the word to the westernmost Indo-European languages speaks against a PIE origin. This is confirmed by the irregular correlation between PGm. \*pakkan- < \*bakk-, Gr. q>cXKEAO<) < \*bhak- and Lat. \*baga < \*bag-. Even within Germanic itself, the word corresponds irregularly to ON baggi m. 'pack, bundle', which points to …",pdf-text-headword-found,
papa-,,m./n.,path,436,LW,\*pap- (LW),"OE prefJ, pafJ m. 'id.', E path, OFri. path, pad n. 'id.', MDu. pat m./n. 'id.', Du. pad n. 'id.', OHG pfad m./n. 'id.', G Pfad m. 'id.'",pdf-text-headword-found,
pi/Jman-,,- \*pittan- m.,"root, pith",436,of a fruit,,"OE pipa m. 'pith', WFri. piid 'pith, stone (of a fruit)' (< \*pidan-?), EDu. pee 'skirwort, skirret, (edible) root', peen 'bent grass, tall oat grass', Du. peen c. 'carrot' (Lw?). A West Germanic word with an indirect attestation in Far. piaa w.v. 'to pick the meat from the bone' < \*pipojan-. The alternation of the stem variants \*pipan- and \*pittan- (\*pippan-?) points to an n-stem nom. \*pipo, gen. \*pittaz < \*bft-on, \*bit-n-6s. In view of the suffixation of Du. peem 'root (of grasses)', dial. pessem, pettem 'root, field horsetail' (\*-pp- > -ss-/-tt- in the Du. dialects), it is further conceivable that this n-stem continues an older mn-stem \*pipmon, \*pittaz from \*bft-mon, \*bit-mn-…",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
plag/kkon-,,f.,"rag, sod",437,GM,,"ON plagg n. 'cloth', MDu. placke, plagge f. 'rag; sod, turf, Du. plag c. 'sod', plak c. 'slice, patch', MHG pjlacke m. 'rag, patch, stain' (GM). A number of nominal formations probably belonging to an iterative verb \*plakk/gon-, cf. MDu. placken w.v. 'to slap', Sw. plagg 'beating', LG plegel, G Swab. Pjlegel m. 'flail' < \*plagila-. If the meaning 'sod' as attested in MDu. is old enough, the root may have served as the basis for \*ploga- 'plow' (q.v.), whose etymology is usually considered to be obscure.",pdf-text-headword-found,suspicious-headword-characters
plehan-,,- \*plegan- s.v.,to take responsibility,437,GM,\*pslek-e-(?) (GM),"OS plegan s.v. 'id.', MDu. plien, plegen s.v. 'to guarantee, take care of, be accustomed to', OHG pjlegan s.v. 'to take care of, maintain, nurse', G pjlegen w.v. 'id.'",pdf-text-headword-found,
plehti-,,m.jf.,responsibility,437,ORV,,"OE pliht m./f. 'danger, damage', E plight, OFri. plicht f. 'caution, responsibility', MDu. plicht f. 'obligation', Du. plicht c. 'id.', OHG pjliht f. 'fervor, caution, practice, manner', G Pjlicht f. 'obligation, responsibility' (ORV). A ti-stem to the root of the strong verb \*plegan- (q.v.). The sometimes compared OS pletta, MLG plicht, MDu., Du. plecht, OHG pjlihta f. 'small (cabin on a) fore-deck' (also cf. OE plihtere 'look-out man in the prow') is unrelated. I would instead like to compare this word to the obscure MLG pligen 'to steer carefully(?)' and E obs. ply 'to beat up against the wind; to tack, work to windward; to direct one's course (in a ship), steer', which ultimately go bac…",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
ploga-,,m.,plow,438,DRV,,"ON pl6gr m. 'id.', Ice!. pl6gur m. 'id.', Far. pl6gv n. 'jointer plane; groove in a board; plow'; pl6gv f. 'plow', OE plOh m. 'id.', E plow, OFri. ploch m. 'id.', MDu. ploech f./m. 'plow; team, group', Du. ploeg c. 'id.', OHG pjluog m. 'plow; livelihood', G Pflug m. 'plow' (DRV). The etymology of 'plow', first attested in the enigmatic plaumorati mentioned by Pliny, is disputed (see e.g. Puhvel 1964 ). It is believed by many to be derived from the verb PGm. \*plehan- - \*plegan- ( q.v.), in which case there must have been a shift of meaning from 'to be used to' to 'live' to 'to plow' (cf. OHG pjluog 'livelihood'). However, the opposite semantic evolution from 'plow' to 'livelihood' cannot be…",pdf-text-headword-found,
plukkjan-,,w.v.,to pluck,438,GM,,"OE plyccean w.v. 'to pluck', ME plicchen w.v. 'to pull, snatch, pluck', E obs. to plitch 'id.', MDu. p/ocken, plucken w.v. 'to pluck', Du. plukken w.v. 'to pick, pluck' (GM). Ajan-verb derived from the iterative \*pluk{k)on- (q.v.).",pdf-text-headword-found,
pluk(k)on-,,w.v.,to pluck,438,GM,,"OE ploccian w.v. 'to pull off, cull', E to pluck, OFri. her-plokkia w.v. 'to pluck out hair', WFri. ploats(j)e, pl6k(j)e w.v. 'to pluck', LG ploken 'to pluck' (Diefenbach 1867: 77) (GM). An iterative verb whose paradigm in view of the derived MLG plugge, plucke m. 'wooden nail, peg', EDu. plugge 'wooden nail, plug, bung, stopper', Du. plug c. 'id.', MHG pjloc m. 'stake, peg', G Pjlock m. 'id.' < \*plugg/kkan- is to be reconstructed as 3sg. \*plukkopi, 3pl. \*plugunanpi. OSw. trce-p/iJgger 'peg' and Nw. pligg m. 'peg, pin' have been adduced in support of an ablauting formation \*plegja- / \*plegwa-, but these forms are more likely to have been adopted from Low German. See also \*plukkjan-.",pdf-text-headword-found,
pola-,,m.,pool,438,NIE,\*bal-(?) (NIE),"OE pol m. 'id.', E pool, OFri. pol m. 'id.', MDu. poel m. 'id.', Du. poel c. 'id.', OHG pfuol m. 'id.', G Pfuhl m. 'id.'",pdf-text-headword-found,
prakkon-,,w.v.,to press(?),439,NEUR,,"LG prakken w.v. 'to squeeze', Du. prakken w.v. 'to mash' (NEUR). An iterative verb that can hardly be separated from the strong verb \*prangan- (q.v.) with the same meaning. I therefore reconstruct the formation as \*brogh-neh₂- without the n, which was apparently an infix. Also cf. LG pranke 'claw' < \*prankan- < \*brongh-n-.",pdf-text-headword-found,
prangan-,,s.v.,to press,439,NEUR,\*br6ngh·e- (NEUR),"Go. ana-praggan s.v. 'to press upon, oppress, trouble', MLG prangen w.v. 'to press, clamp', MDu. prangen w.v. 'to press, squeeze; to wrestle, fight', Du. prangend ptc. 'urgent'",pdf-text-headword-found,
preuna(n)-,,m.,"needle, pin",439,NEUR,\*breuk-no-(?) (NEUR),"Ice!. prj6nn m. 'knitting needle', Far. pr6nur m. 'large pin, fixing pin', Nw. prj6na f. 'fixing pin', Da. pryne c. 'needle for stringing fish; ring for pigs; eel prong', OE preon m. 'pin, brooch, fastening', E preen 'decorative pin, brooch, clasp', MLG pren(e), preme m. 'awl', MDu. priem(e) m. 'needle, awl, pin', Du. priem c. 'awl', MHG pfrieme m. 'id.', G Pfriem m. 'id.'",pdf-text-headword-found,
prik(k)on-,,w.v.,to prick,439,GM,,"OE prician w.v. 'id.', E to prick, MLG pricken w.v. 'id.', Du. prikken w.v. 'id.', MHG pfrecken w.v. 'id.' (GM). A NWGm. word, perhaps ultimately an onomatopoeia. The variation of \*prikon- vs. \*prikkon- points to an original iterative 3sg. \*prikkopi, 3pl. \*prikunanpi < \*brig-neh₂-, but the root of this formation cannot possibly be",pdf-text-headword-found,
puh/kkan-,,m.,bag,440,for wool,,"ON poki m. 'id.', OE pocca, pohha m. 'purse', E pough, MDu. poke 'bag (for wool)', EDu. poke 'hairshirt, crop', Du. obs. pook 'bag', G Pfoch m. 'id.' (GM?). An exclusively Germanic word that surfaces with many different shapes in the different dialects. The variation of the stems \*puhhan-, \*pukkan- and \*pukan- can nevertheless be resolved by reconstructing a paradigm nom. \*puho, gen. \*pukkaz < \*bUk-on, \*buk-n-6s. No further etymology. The link with Pol. buczyc sit; 'to puff oneself up' < \*bouk-eie- is technically possible, but remains uncertain in view of the restriction of this form to Slavic. In addition, the possibly related Nw. poka f. 'pigskin, sward' < \*pukon- could point to a…",pdf-text-headword-found,suspicious-headword-characters; no-proto-arrow-or-distribution-detected
piika-,,- \*piiga- n.(?),sheeting(?),440,high quality,,"MLG puche, pughe f. 'blanket, covering', LG puch 'bed', MDu. puuc n. '(high quality) sheeting' (GM). An apparently WGm. word with no clear etymology. The origin of the variation between \*puk- and \*pug- is unknown; it is theoretically possible that the former continues Pre-Gm. \*pukk- with a geminate, but it is unclear where this geminate would have come from. As for the semantics of the cluster, MDu. puuc n. 'high quality textile' and Du. puik adj. 'fine' have been adduced in order to start from a meaning 'handpicked', cf. Du. dial. puiken 'to pick' (Kluge/Seebold 2002: 702). However, this leaves the variant \*pugunaccounted for. Related to \*puh/kkan- 'bag' (q.v.)?",pdf-text-headword-found,
punga-,,m.,"purse, pouch",440,GM,,"Go. puggs m. 'id.', ON pungr m. 'id.', OE pung m. 'id.', ODu. pung, pong m. 'id.', OHG scaz-pfung m. 'id.' (GM). An etymologically obscure word restricted to Germanic. It is tempting to connect it to the semantically similar \*puh/kkan- 'bag' (q.v.), but this comparison requires the assumption of a proto-form \*pu-n-k-o- with a nasal infix, which is far-fetched.",pdf-text-headword-found,
pursa-,,m.,bog myrtle,440,NIE,,"MLG pars m. 'id.', MDu. pors[e) m. 'id.' (NIE). A resinous shrub that was used as an insect repellent and abortifacient. It is native to northern and western Europe and typically grows in acidic peat bogs. The geographic distribution is in keeping with the linguistic spread of the word; like MHG horse and G Porst, ON pars (cf. Nw., Sw., Da. pars) was",pdf-text-headword-found,
put(t)on-,,w.v.,"to poke, prod",441,GM,,"Ice!. pata w.v. 'to prod/tuck into', Far. pata w.v. 'to thrust, stick; to prod, poke', Elfd. puatci w.v. 'to poke', OE patian w.v. 'to push, strike, butt', MLG paten, patten w.v. 'to plant in the ground, implant', MDu. paten w.v. 'id.', Du. paten w.v. 'id.' (GM). A weak verb closely related to OE pjitan w.v. 'to push, poke, thrust, put', E to put < \*putjan- and Nw. dial. pauta w.v. 'to stick' < \*pauton-. The secondary nature of the root-final t is revealed by the frequentative MLG podderen 'to bicker', MDu. poderen, puederen 'to root; to bother', Du. peuren 'to blend' (vs. Du. peuteren 'to poke'). Together, all these forms point to an iterative verb 3sg. \*puttopi, 3pl. \*pudunanpi < \*but…",pdf-text-headword-found,
rada-,,adj.,fast(?),441,IE,\*Hrat-6- (IE),"Go. raps adj. 'effortless, facile, easy', OE rCEd adj. 'fast', Du. rad adj. 'fast'",pdf-text-headword-found,
radii-,,f.,row,441,IE,\*Hrl;J1dh-eh₂- (IE),"ON rpa f. 'id.', Elfd. rao f. 'row, line', MLG rat f. 'line, order(?)'",pdf-text-headword-found,
ragina-,,n.,decision,441,NEUR,\*Hrok-en-o- (NEUR),"Go. ragin n. 'opinion, law, decree, task, responsibility', ON regin n.pl. 'the ruling powers, the gods', OS regina-giskapu 'fate'",pdf-text-headword-found,
rahna-,,n.,booty,442,IE,\*Hr6k-no- (IE),"ON ran n. 'robbery, plundering; booty', OHG rahan 'booty'",pdf-text-headword-found,
raho-,,f.,"pole, ray",442,WEUR,,"ON ra f. 'berth in a ship', Far. ra f. 'yard; stick, cudgel', MDu. ra f. 'stick; yard', Du. ra c. 'yard', MHG rahe f. 'stick; yard' (WEUR). A word included in nautical terminology, the original meaning being 'upright stick'; together with Nw. dial. rage m. 'thin post', Sw. dial. raga m. 'thin tree' < \*ragan- related to the iterative \*rakk/gon- 'to jut out'.",pdf-text-headword-found,
raibo-,,f.,"swaddling cloth, wrap",442,GM,\*Hroip-eh₂- (GM),ON reifar f. pl. 'swaddling bands',pdf-text-headword-found,
raidlj)a-,,adj.,"arranged, prepared",442,EUR,\*h₂rei-dhh₁- (EUR),"Go. ga-raij:Js adj. 'determined, arranged, commanded', ON greior adj. 'cleared, ready, settled', Far. greiour adj. 'straightforward; gentle', OE rrede, ge-rrede adj. 'ready, easy', E ready, OFri. rede, red, reid adj. 'ready; available; payable', MDu. ge-rede adj. 'ready; considerable', Du. ge-reed adj. 'id.', OHG gi-reiti adj. 'ready', MHG reite, ge-reite adj. 'id.'",pdf-text-headword-found,
raiha(n)-,,m.,roe deer,442,WEUR,\*Hroik-on- (WEUR),"ON ra f. 'id.', Far. ra-dj6r n. 'id.', Elfd. rci-diuor n. 'id.', OE rii, riiha m. 'id.', E roe, ODu. reho m. 'id.', Du. ree c. 'id.', OHG reh n., reho m. 'id.', G Reh n. 'id.'",pdf-text-headword-found,
raiho-,,f.,row,443,NEUR?,,"Nw. rd f. 'border between fields', OE rawe f. 'row' (NEUR?). A formation possibly ablauting with \*rfh6-. It is usually assumed that the -w- in OE rawe (for which also cf. OE r.i?w f. 'row' < \*raiwi-) points to PGm. \*raiwo- < \*Hroik-ueh₂-. The alternative is to connect Lith. reive f. 'stripe' < \*Hrei-u-ieh₂-(?).",pdf-text-headword-found,
raina/6-,,m./n./f.,"hill, border(?)",443,WEUR,\*Hroi-no- (WEUR),"ON rein f./n. 'marge, strip of land', Far. rein f. 'edge of a field, piece of land', Elfd. rien f. 'id.', MHG rein m. 'marge, elevation', G Rain m. 'id.'",pdf-text-headword-found,suspicious-headword-characters
raipa-,,m./n.,strap,443,GM,\*Hroip-n6- (GM),"Go. skauda-raip n. 'shoelace', ON reip n. 'rope', OE rap m. 'id.', E rope, OFri. rap n. 'id.', OHG reif m. 'strap', G Reif m. 'id.'",pdf-text-headword-found,
raizjan-,,w.v.,"to cause to rise, raise",443,IE,\*h₃rois-eie- (IE),"Go. ur-raisjan w.v. 'id.', ON reisa w.v. 'id.', Far. reisa w.v. 'id.', OE r.i?ran w.v. 'id.', E to rear, MDu. reren w.v. 'to make fall, make shed', OHG reren w.v. 'to cause to fall', MHG reren w.v. 'to cause to fall; to make shed'",pdf-text-headword-found,
